CF,20180309,7.27,13.33,25.71,40.00,1.00,3.00,7.00,8.00,1.00,3.00,5.00,11.00,115.00,195.00,260.00,450.00,605.00 
FG,20180309,1.00,1.83,4.08,7.00,1.00,2.00,4.00,6.00,1.00,2.00,5.00,7.00,12.00,28.00,33.00,54.00,70.00 
MA,20180309,2.49,3.32,10.41,14.00,1.00,3.00,6.00,7.00,1.00,3.00,6.00,8.00,29.00,75.00,97.00,165.00,196.00 
RM,20180309,1.00,1.59,3.62,6.00,1.00,2.00,5.00,10.00,1.00,3.00,4.00,4.00,10.00,26.00,32.00,74.00,110.00 
SF,20180309,6.21,10.12,28.00,60.00,1.00,3.00,7.00,18.00,1.00,1.00,4.00,9.00,61.00,244.00,322.00,714.00,1504.00 
SM,20180309,9.59,19.42,52.00,73.33,1.00,3.00,6.00,7.00,1.00,1.00,3.00,5.00,84.00,286.00,368.00,634.00,1010.00 
au,20180309,0.06,0.10,0.21,0.29,1.00,2.00,5.00,5.00,1.00,3.00,6.00,6.00,0.90,1.90,2.10,4.00,6.60 
bu,20180309,2.15,3.95,6.67,16.00,1.00,3.00,6.00,8.00,1.00,2.00,5.00,7.00,28.00,66.00,71.00,132.00,198.00 
i,20180309,0.72,1.14,1.93,2.68,2.00,3.00,4.00,5.00,1.00,3.00,6.00,8.00,10.75,28.50,35.50,51.50,68.50 
j,20180309,3.04,4.15,8.00,10.64,1.00,2.00,7.00,7.00,1.00,2.00,4.00,8.00,27.00,65.00,74.50,167.50,237.00 
m,20180309,1.10,1.67,3.16,4.58,1.00,2.00,5.00,6.00,1.00,2.00,5.00,8.00,9.50,31.50,37.50,78.00,124.50 
ni,20180309,59.92,107.50,245.56,350.00,1.00,2.50,5.00,8.00,1.00,2.00,5.50,7.00,585.00,1680.00,2345.00,5170.00,5860.00 
rb,20180309,3.90,5.60,11.00,15.00,1.00,2.00,6.00,7.00,1.00,2.00,5.00,6.00,56.00,104.00,133.00,223.00,332.00 
ru,20180309,15.66,25.19,76.67,87.50,1.00,2.00,4.00,5.00,1.00,2.00,5.00,8.00,150.00,355.00,480.00,1005.00,1365.00 
v,20180309,8.11,12.00,23.33,29.17,1.00,2.00,3.00,4.00,1.00,2.00,3.00,4.00,97.50,185.00,205.00,410.00,560.00 
